"gid","round"
439,42798
117,51363
179,54464
111,76182
291,65612
100,50264
112,43135
431,52306
115,50230
250,47087
110,54380
13,77132
116,90431
113,58411
322,67196
178,50985
183,71747
184,51033
46,47940
99,88940
83,63607
118,46963
74,49139
231,44310
182,64275
62,47795
222,44024
268,49188
310,58807
109,41416
180,55040
256,73576
31,42710
197,78384
181,37695
114,75129
