"geoid","geoid2","geodisplaylabel","hc02_est_vc02"
"1400000US48023950300","48023950300","Census Tract 9503, Baylor County, Texas","36373"
"1400000US48025950100","48025950100","Census Tract 9501, Bee County, Texas","51417"
"1400000US48025950201","48025950201","Census Tract 9502.01, Bee County, Texas","73889"
"1400000US48025950202","48025950202","Census Tract 9502.02, Bee County, Texas","45589"
"1400000US48025950300","48025950300","Census Tract 9503, Bee County, Texas","40201"
"1400000US48025950400","48025950400","Census Tract 9504, Bee County, Texas","42390"
"1400000US48025950500","48025950500","Census Tract 9505, Bee County, Texas","39491"
"1400000US48025950600","48025950600","Census Tract 9506, Bee County, Texas","37278"
"1400000US48027020100","48027020100","Census Tract 201, Bell County, Texas","59525"
"1400000US48027020201","48027020201","Census Tract 202.01, Bell County, Texas","92619"
"1400000US48027020202","48027020202","Census Tract 202.02, Bell County, Texas","55789"
"1400000US48027020300","48027020300","Census Tract 203, Bell County, Texas","69835"
"1400000US48027020401","48027020401","Census Tract 204.01, Bell County, Texas","43389"
"1400000US48027020402","48027020402","Census Tract 204.02, Bell County, Texas","42917"
"1400000US48027020500","48027020500","Census Tract 205, Bell County, Texas","42212"
"1400000US48027020600","48027020600","Census Tract 206, Bell County, Texas","45855"
"1400000US48027020701","48027020701","Census Tract 207.01, Bell County, Texas","14335"
"1400000US48027020702","48027020702","Census Tract 207.02, Bell County, Texas","24417"
"1400000US48027020800","48027020800","Census Tract 208, Bell County, Texas","28938"
"1400000US48027020900","48027020900","Census Tract 209, Bell County, Texas","30272"
"1400000US48027021000","48027021000","Census Tract 210, Bell County, Texas","34457"
"1400000US48027021100","48027021100","Census Tract 211, Bell County, Texas","38472"
"1400000US48027021201","48027021201","Census Tract 212.01, Bell County, Texas","45560"
"1400000US48027021202","48027021202","Census Tract 212.02, Bell County, Texas","46544"
"1400000US48027021203","48027021203","Census Tract 212.03, Bell County, Texas","45473"
"1400000US48027021301","48027021301","Census Tract 213.01, Bell County, Texas","56859"
"1400000US48027021302","48027021302","Census Tract 213.02, Bell County, Texas","60650"
"1400000US48027021303","48027021303","Census Tract 213.03, Bell County, Texas","57028"
"1400000US48027021400","48027021400","Census Tract 214, Bell County, Texas","55735"
"1400000US48027021500","48027021500","Census Tract 215, Bell County, Texas","51279"
"1400000US48027021601","48027021601","Census Tract 216.01, Bell County, Texas","45690"
"1400000US48027021602","48027021602","Census Tract 216.02, Bell County, Texas","32708"
"1400000US48027021700","48027021700","Census Tract 217, Bell County, Texas","56548"
"1400000US48027021800","48027021800","Census Tract 218, Bell County, Texas","48083"
"1400000US48027021901","48027021901","Census Tract 219.01, Bell County, Texas","52216"
"1400000US48027021903","48027021903","Census Tract 219.03, Bell County, Texas","85186"
"1400000US48027021904","48027021904","Census Tract 219.04, Bell County, Texas","77625"
"1400000US48027022000","48027022000","Census Tract 220, Bell County, Texas","41388"
"1400000US48027022101","48027022101","Census Tract 221.01, Bell County, Texas","36343"
"1400000US48027022103","48027022103","Census Tract 221.03, Bell County, Texas","54519"
"1400000US48027022104","48027022104","Census Tract 221.04, Bell County, Texas","32602"
"1400000US48027022105","48027022105","Census Tract 221.05, Bell County, Texas","46042"
"1400000US48027022200","48027022200","Census Tract 222, Bell County, Texas","31897"
"1400000US48027022300","48027022300","Census Tract 223, Bell County, Texas","35639"
"1400000US48027022401","48027022401","Census Tract 224.01, Bell County, Texas","38235"
"1400000US48027022402","48027022402","Census Tract 224.02, Bell County, Texas","81351"
"1400000US48027022403","48027022403","Census Tract 224.03, Bell County, Texas","62461"
"1400000US48027022404","48027022404","Census Tract 224.04, Bell County, Texas","60802"
"1400000US48027022405","48027022405","Census Tract 224.05, Bell County, Texas","54167"
"1400000US48027022501","48027022501","Census Tract 225.01, Bell County, Texas","45365"
"1400000US48027022502","48027022502","Census Tract 225.02, Bell County, Texas","55648"
"1400000US48027022600","48027022600","Census Tract 226, Bell County, Texas","27161"
"1400000US48027022801","48027022801","Census Tract 228.01, Bell County, Texas","24180"
"1400000US48027022900","48027022900","Census Tract 229, Bell County, Texas","29340"
"1400000US48027023000","48027023000","Census Tract 230, Bell County, Texas","58415"
"1400000US48027023103","48027023103","Census Tract 231.03, Bell County, Texas","39562"
"1400000US48027023104","48027023104","Census Tract 231.04, Bell County, Texas","41307"
"1400000US48027023105","48027023105","Census Tract 231.05, Bell County, Texas","56917"
"1400000US48027023106","48027023106","Census Tract 231.06, Bell County, Texas","56961"
"1400000US48027023107","48027023107","Census Tract 231.07, Bell County, Texas","38997"
"1400000US48027023108","48027023108","Census Tract 231.08, Bell County, Texas","51256"
"1400000US48027023201","48027023201","Census Tract 232.01, Bell County, Texas","45871"
"1400000US48027023202","48027023202","Census Tract 232.02, Bell County, Texas","37660"
"1400000US48027023203","48027023203","Census Tract 232.03, Bell County, Texas","38915"
"1400000US48027023204","48027023204","Census Tract 232.04, Bell County, Texas","36008"
"1400000US48027023300","48027023300","Census Tract 233, Bell County, Texas","68984"
"1400000US48027023402","48027023402","Census Tract 234.02, Bell County, Texas","50920"
"1400000US48027023403","48027023403","Census Tract 234.03, Bell County, Texas","83661"
"1400000US48027023404","48027023404","Census Tract 234.04, Bell County, Texas","60329"
"1400000US48027023500","48027023500","Census Tract 235, Bell County, Texas","18750"
"1400000US48027980001","48027980001","Census Tract 9800.01, Bell County, Texas","NA"
"1400000US48027980002","48027980002","Census Tract 9800.02, Bell County, Texas","NA"
"1400000US48027980003","48027980003","Census Tract 9800.03, Bell County, Texas","NA"
"1400000US48029110100","48029110100","Census Tract 1101, Bexar County, Texas","38004"
"1400000US48029110300","48029110300","Census Tract 1103, Bexar County, Texas","37107"
"1400000US48029110500","48029110500","Census Tract 1105, Bexar County, Texas","10528"
"1400000US48029110600","48029110600","Census Tract 1106, Bexar County, Texas","12160"
"1400000US48029110700","48029110700","Census Tract 1107, Bexar County, Texas","19279"
"1400000US48029110800","48029110800","Census Tract 1108, Bexar County, Texas","27804"
"1400000US48029110900","48029110900","Census Tract 1109, Bexar County, Texas","60755"
"1400000US48029111000","48029111000","Census Tract 1110, Bexar County, Texas","26768"
"1400000US48029120100","48029120100","Census Tract 1201, Bexar County, Texas","61923"
"1400000US48029120300","48029120300","Census Tract 1203, Bexar County, Texas","121086"
"1400000US48029120400","48029120400","Census Tract 1204, Bexar County, Texas","113533"
"1400000US48029120501","48029120501","Census Tract 1205.01, Bexar County, Texas","37393"
"1400000US48029120502","48029120502","Census Tract 1205.02, Bexar County, Texas","31218"
"1400000US48029120600","48029120600","Census Tract 1206, Bexar County, Texas","52537"
"1400000US48029120701","48029120701","Census Tract 1207.01, Bexar County, Texas","33766"
"1400000US48029120702","48029120702","Census Tract 1207.02, Bexar County, Texas","66402"
"1400000US48029120800","48029120800","Census Tract 1208, Bexar County, Texas","85667"
"1400000US48029120901","48029120901","Census Tract 1209.01, Bexar County, Texas","36250"
"1400000US48029120902","48029120902","Census Tract 1209.02, Bexar County, Texas","50669"
"1400000US48029121000","48029121000","Census Tract 1210, Bexar County, Texas","50127"
"1400000US48029121108","48029121108","Census Tract 1211.08, Bexar County, Texas","54414"
"1400000US48029121110","48029121110","Census Tract 1211.10, Bexar County, Texas","75584"
"1400000US48029121111","48029121111","Census Tract 1211.11, Bexar County, Texas","59291"
"1400000US48029121112","48029121112","Census Tract 1211.12, Bexar County, Texas","49593"
"1400000US48029121115","48029121115","Census Tract 1211.15, Bexar County, Texas","84500"
"1400000US48029121116","48029121116","Census Tract 1211.16, Bexar County, Texas","49792"
"1400000US48029121117","48029121117","Census Tract 1211.17, Bexar County, Texas","70455"
"1400000US48029121118","48029121118","Census Tract 1211.18, Bexar County, Texas","55000"
"1400000US48029121119","48029121119","Census Tract 1211.19, Bexar County, Texas","54505"
"1400000US48029121120","48029121120","Census Tract 1211.20, Bexar County, Texas","65641"
"1400000US48029121121","48029121121","Census Tract 1211.21, Bexar County, Texas","103300"
"1400000US48029121122","48029121122","Census Tract 1211.22, Bexar County, Texas","78242"
"1400000US48029121203","48029121203","Census Tract 1212.03, Bexar County, Texas","39571"
"1400000US48029121204","48029121204","Census Tract 1212.04, Bexar County, Texas","34640"
"1400000US48029121205","48029121205","Census Tract 1212.05, Bexar County, Texas","33990"
"1400000US48029121206","48029121206","Census Tract 1212.06, Bexar County, Texas","56516"
"1400000US48029121300","48029121300","Census Tract 1213, Bexar County, Texas","65975"
"1400000US48029121402","48029121402","Census Tract 1214.02, Bexar County, Texas","50127"
